序号,NEW_TYPE,大类,中类,小类,Big Category,Mid  Category,Sub Category
504,100000,住宿服务,住宿服务相关,住宿服务相关,Accommodation Service,Accommodation Service Related,Accommodation Service Related
505,100100,住宿服务,宾馆酒店,宾馆酒店,Accommodation Service,Hotel,Hotel
506,100101,住宿服务,宾馆酒店,奢华酒店,Accommodation Service,Hotel,Luxury Hotel
507,100102,住宿服务,宾馆酒店,五星级宾馆,Accommodation Service,Hotel,Five-star Hotel
508,100103,住宿服务,宾馆酒店,四星级宾馆,Accommodation Service,Hotel,Four-star Hotel
509,100104,住宿服务,宾馆酒店,三星级宾馆,Accommodation Service,Hotel,Three-star Hotel
510,100105,住宿服务,宾馆酒店,经济型连锁酒店,Accommodation Service,Hotel,Economical Chain Hotel
511,100200,住宿服务,旅馆招待所,旅馆招待所,Accommodation Service,Hostel,Hostel
512,100201,住宿服务,旅馆招待所,青年旅舍,Accommodation Service,Hostel,Youth Hostel
514,110100,风景名胜,公园广场,公园广场,Tourist Attraction,Park & Square,Park & Square
515,110101,风景名胜,公园广场,公园,Tourist Attraction,Park & Square,Park
516,110102,风景名胜,公园广场,动物园,Tourist Attraction,Park & Square,Zoo
517,110103,风景名胜,公园广场,植物园,Tourist Attraction,Park & Square,Botanical Garden
518,110104,风景名胜,公园广场,水族馆,Tourist Attraction,Park & Square,Aquarium
519,110105,风景名胜,公园广场,城市广场,Tourist Attraction,Park & Square,City Plaza
520,110106,风景名胜,公园广场,公园内部设施,Tourist Attraction,Park & Plaza,Facilities within the park
522,110201,风景名胜,风景名胜,世界遗产,Tourist Attraction,Scenery Spot,World Heritage
523,110202,风景名胜,风景名胜,国家级景点,Tourist Attraction,Scenery Spot,National View Spot
524,110203,风景名胜,风景名胜,省级景点,Tourist Attraction,Scenery Spot,Provincial View Spot
525,110204,风景名胜,风景名胜,纪念馆,Tourist Attraction,Scenery Spot,Memorial Hall
526,110205,风景名胜,风景名胜,寺庙道观,Tourist Attraction,Scenery Spot,Buddhist & Taoist Temple
527,110206,风景名胜,风景名胜,教堂,Tourist Attraction,Scenery Spot,Church
528,110207,风景名胜,风景名胜,回教寺,Tourist Attraction,Scenery Spot,Mosque
529,110208,风景名胜,风景名胜,海滩,Tourist Attraction,Scenery Spot,Beach
530,110209,风景名胜,风景名胜,观景点,Tourist Attraction,Scenery Spot,View Point
531,110210,风景名胜,风景名胜,红色景区,Tourist Attraction,Scenery Spot,Red scenic spot
616,150100,交通设施服务,机场相关,机场相关,Transportation Service,Airport Related,Airport Related
617,150101,交通设施服务,机场相关,候机室,Transportation Service,Airport Related,Departure Lounge
618,150102,交通设施服务,机场相关,摆渡车站,Transportation Service,Airport Related,The Ferry Station
619,150104,交通设施服务,机场相关,飞机场,Transportation Service,Airport Related,Airport
620,150105,交通设施服务,机场相关,机场出发/到达,Transportation Service,Airport Related,Airport Departure/Arrival
621,150106,交通设施服务,机场相关,直升机场,Transportation Service,Airport Related,Heliport
622,150107,交通设施服务,机场相关,机场货运处,Transportation Service,Airport Related,Airport Freight Station
623,150200,交通设施服务,火车站,火车站,Transportation Service,Railway Station,Railway Station
634,150300,交通设施服务,港口码头,港口码头,Transportation Service,Port & Marina,Port & Marina
